date,rain_mm_daily
2015-06-25,5.6373386
2015-06-26,2.5255327
2015-06-27,1.178965
2015-06-28,7.0816407
2015-06-29,0.05985424
2015-06-30,0.0
2015-07-01,5.9858055
2015-07-02,1.4132559
2015-07-03,0.03405474
2015-07-04,15.458305
2015-07-05,3.9883814
2015-07-06,4.6058035
2015-07-07,6.827109
2015-07-08,4.437687
2015-07-09,0.05764328
2015-07-10,0.41383505
2015-07-11,3.1655078
2015-07-12,3.7632732
2015-07-13,5.776931
2015-07-14,1.5542693
2015-07-15,0.013688579
2015-07-16,0.052332878
2015-07-17,12.4025955
2015-07-18,1.5003793
2015-07-19,12.552725
2015-07-20,4.717454
2015-07-21,2.7230458
2015-07-22,0.51729566
2015-07-23,1.2335293
2015-07-24,0.5840733
2015-07-25,1.9378662
2015-07-26,7.871147
2015-07-27,10.535488
2015-07-28,16.520191
2015-07-29,3.2874813
2015-07-30,0.9406656
2015-07-31,1.8626451e-06
2015-08-01,1.4090164
2015-08-02,4.3937826
2015-08-03,0.61662126
2015-08-04,2.600681
2015-08-05,3.967775
2015-08-06,1.7234981
2015-08-07,0.38260782
2015-08-08,0.9022188
2015-08-09,1.0801088
2015-08-10,5.7514796
2015-08-11,0.8160975
2015-08-12,0.0
2015-08-13,0.30414015
2015-08-14,18.983807
2015-08-15,0.53511375
2015-08-16,0.07786602
2015-08-17,0.027999282
2015-08-18,1.2078304
2015-08-19,4.754979
2015-08-20,0.965191
2015-08-21,3.0912533
2015-08-22,6.649563
2015-08-23,12.532387
2015-08-24,1.6556716
2015-08-25,1.335945
2015-08-26,4.2528734
2015-08-27,3.2285194
2015-08-28,3.1307154
2015-08-29,5.379759
2015-08-30,0.18033758
2015-08-31,0.0
2015-09-01,3.9648526
2015-09-02,0.2106931
2015-09-03,0.0426732
2015-09-04,0.11150353
2015-09-05,0.047499314
2015-09-06,4.4703484e-05
2015-09-07,0.021031126
2015-09-08,0.102235004
2015-09-09,0.13719685
2015-09-10,0.0041015446
2015-09-11,0.03713928
2015-09-12,14.36566
2015-09-13,1.5499983
2015-09-14,3.2633784
2015-09-15,0.44634005
2015-09-16,0.00049360096
2015-09-17,2.3088512
2015-09-18,1.3427846
2015-09-19,0.019306317
2015-09-20,5.883563
2015-09-21,5.4927197
2015-09-22,0.30100906
2015-09-23,2.5746765
2015-09-24,2.643356
2015-09-25,0.17065555
